Municipios;Sexo;Periodo;Total
39003 Anievas;Hombres;2010;178
39003 Anievas;Hombres;2009;180
39003 Anievas;Hombres;2008;181
39003 Anievas;Hombres;2007;182
39003 Anievas;Hombres;2006;185
39003 Anievas;Hombres;2005;188
39003 Anievas;Hombres;2004;197
39003 Anievas;Hombres;2003;195
39003 Anievas;Hombres;2002;191
39003 Anievas;Hombres;2001;189
39003 Anievas;Hombres;2000;193
39003 Anievas;Hombres;1999;202
39003 Anievas;Hombres;1998;201
39003 Anievas;Hombres;1997;""
39003 Anievas;Hombres;1996;211
39003 Anievas;Mujeres;2023;122
39003 Anievas;Mujeres;2022;120
39003 Anievas;Mujeres;2021;120
39003 Anievas;Mujeres;2020;126
39003 Anievas;Mujeres;2019;126
39003 Anievas;Mujeres;2018;130
39003 Anievas;Mujeres;2017;137
39003 Anievas;Mujeres;2016;152
39003 Anievas;Mujeres;2015;161
39003 Anievas;Mujeres;2014;158
39003 Anievas;Mujeres;2013;165
39003 Anievas;Mujeres;2012;176
39003 Anievas;Mujeres;2011;186
39003 Anievas;Mujeres;2010;185
39003 Anievas;Mujeres;2009;186
39003 Anievas;Mujeres;2008;180
39003 Anievas;Mujeres;2007;178
39003 Anievas;Mujeres;2006;191
39003 Anievas;Mujeres;2005;193
39003 Anievas;Mujeres;2004;197
39003 Anievas;Mujeres;2003;193
39003 Anievas;Mujeres;2002;187
39003 Anievas;Mujeres;2001;186
39003 Anievas;Mujeres;2000;188
39003 Anievas;Mujeres;1999;196
39003 Anievas;Mujeres;1998;193
39003 Anievas;Mujeres;1997;""
39003 Anievas;Mujeres;1996;196
39004 Arenas de Iguña;Total;2023;1742
39004 Arenas de Iguña;Total;2022;1734
39004 Arenas de Iguña;Total;2021;1703
39004 Arenas de Iguña;Total;2020;1665
39004 Arenas de Iguña;Total;2019;1679
39004 Arenas de Iguña;Total;2018;1676
39004 Arenas de Iguña;Total;2017;1690
39004 Arenas de Iguña;Total;2016;1711
39004 Arenas de Iguña;Total;2015;1752
39004 Arenas de Iguña;Total;2014;1775
39004 Arenas de Iguña;Total;2013;1811
39004 Arenas de Iguña;Total;2012;1792
39004 Arenas de Iguña;Total;2011;1806
39004 Arenas de Iguña;Total;2010;1814
39004 Arenas de Iguña;Total;2009;1837
